Subject,Category
Thank you for applying!,Job
Practice and practice again for IBPS PO Prelims,Others
Unacademy White Hat Unlocked!,Others
Just scheduled: PYTORCH GET STARTED,Others
Banushree is a new friend suggestion for you,Others
Hey Chandrashekhar!  We need 2 Minutes of yours to Win | CNBC Awards,Others
"RTO Orders - Grid South, SE Trans, SPP and Entergy",Others
How Much Can Data Scientists Make in an Year?,Others
Become the Product Manager You Want to Be,Others
Register in Ken 42 The StartNXT Ideathon | Win upto INR 2 Crores to set up your own company,Others
New from Data Science Devils: Is Golang going to overpower Python?,Others
Countries Turn to Tech to Fight Corona Virus,Others
Technology trends in business-to-business Commerce,Others
Davis & Company incompetence personified,Others
Keep your phone protected from Fake Apps,Others
Thank you for Applying!,Job
"""Cancer Scare""",Others
Thank you for Applying,Job
Exclusive Offer: Practical Machine Learning Course,Others
"DSC Bengaluru Data Science list: ""APAC ODSC: Rethinking AI in India and the Asia-Pacific Region",Others
Thank you for your application for Head - Data Scientist,Job
"Chandrashekhar, Begin your First Career with HCL Technologies!",Others
Your Login Credentials for attending Online Lectures,Others
ust one more step to complete your Dropbox setup,Others
Thank you for applying!,Job
 HERE Location Services APIs and SDKs,Others
The 10 Most Important Skills Of 2021,Others
EXECUTIVE IMPACT COURSE,Others
DAY 26: SPEECH PROCESSING USING MATLAB,Others
Masterclasses at TechSparks 2020 | Register now to get a free experience pass,Others
"Chandrashekhar, have you planned your week ahead?",Others
Thank you for applying to Unipore,Job
50+ Speakers Announced | Topics Confirmed | TechSparks 2020 is here,Others
JUST LAUNCHED: All-New Pastas!,Others
Tips to attend online live class effectively -Pentagon Space Pvt Ltd,Others
I can't see you in today's FREE Live Class...see what you are missing,Others
"What should I choose, 13 LPA at current job in Gurgaon or 20 LPA offer in Bangalore",Others
2 days until Microsoft AI Classroom Series | Oct 2020,Others
"How to Become an Empowered Engineer, Register Now",Others
Update on your TopHire Status,Others
Thank you for applying!,Job
Thank you for applying to Myntra,Job
Mahendra Aarna BMRDA Approved Apartment at E City Phase 2,Others
How is cognizant better than TCS?,Others
All things black - Essentials that you need to own!,Others
Drift Allocation update,Others
Thank you for applying to Marlabs Inc,Job
Rahuls not the only who scored a century ,Others
"Guide to Data Science & ML, Python Salary Trends & Interview Questions",Others
Thank you for applying at GLOBALFOUNDRIES,Job
You look like a good fit for the job at Telstra,Others
 Review of FERC Analysis,Others
IEP News Update,Others
FACE Prep Placement Update | Intel,Others
"Hi Chandrashekhar M, here's an update on your application",Others
This morning's Commission meeting delayed,Others
Thank you for applying to Brillio technologies,Job
Virtual Symposiums | Geek Talks | Bulletin #10,Others
Enron Harvard cases,Others
Trade Development,Others
SC1x  Last chance to verify in SC1x! Week 4 opens tomorrow,Others
National Post Column,Others
Data analytics: Make it work for you,Others
Thank you for applying for Software Co,Job
The New Power Company,Others
"Saturday: Join 5 Azure Learners at ""MS Azure Online Demo | Live Hands-on Explanation | Instructor - Led | Join Now""",Others
Thank you for applying!,Job
Updated Privacy Policy and Terms,Others
"Announcing 15,000 scholarships funded by Bertelsmann!",Others
Update on your TopHire Status,Others
Boston Consulting Group Company Alert,Others
BSNL Recruitment 2020 - Application Link To Apply For BSNL Vacancies - Apply Placement Test 3,Others
"Monday: Join us at ""Learn Data Science from Scratch""",Others
Warm chocolate ClickUp cookies,Others
CareerNinja wishes you a Happy World Students Day!,Others
Invitation to Webinar on Face Detection & Recognition,Others
We're Clearing Out Our Closet!,Others
Florida Projects,Others
storm results & refrigerators,Others
Thank you for applying!,Job
Did you know you can download your free eBooks?,Others
Aina Adekunle invited you to join Data Insight,Others
Important Survey Study,Others
Next Step in your Admission Process: Take the Shortlisting Test | Master of Science in Machine Learning and AI,Others
Thank you for applying at Omdena,Job
Re: February expenses,Others
"Turkey, Poland and Italy",Others
Its Time for a Celebrationof Automation!,Others
Thank you for applying our internship program,Job
Thank you for applying !,Job
Leverage Agile integration to meet the needs of your team,Others
Thank you for applying,Job
2nd Monthly Happy Hour Invite,Others
Your Spooky Starter Pack,Others
LAST CHANCE - Unlock your eCert for only ?499,Others
Lost Demand,Others
Free Mobile Postcard Template.,Others
Thank you for applying,Job
Wyden Bankruptcy Amendment,Others
"New jobs from Unisys India, Mutual Mobile and Mutual Mobile",Others
Thank you for applying,Job
We are live in less than 24 hours,Others
Gautam Consultancy is hiring in Bengaluru,Others
"The Belamy | NeurIPS controversy, Deepfakes & Ethical ML framework",Others
Amcat Sale is Live | On the Occasion of Gandhi Jayanti Book Amcat at INR 730 | Hurry!!,Others
FACE Prep Placement Update | Cadence,Others
Can you guess?,Others
Storage of Cycles at the Body Shop,Others
Thank you for applying,Job
Lawsuit Against Edison,Others
Large Deal Alert,Others
FREE MasterClass to crack any Interview round,Others
Thank you for applying,Job
CS NQT Super 20 Challenges: Avail at Rs.499 on FLASH SALE FRIDAY,Others
Enhance your skills right now with free certifications,Others
Analyst & Associate Summer Picnic,Others
30 Days of Flutter with Code Warriors,Others
Thank you for applying!,Job
Feds Hint at Power Bill Refunds Firms ordered to justify high rates,Others
Please confirm your subscription,Others
Registration is now open for the Junior Data Scientist's First Month course,Others
"Friday: Join us at ""Data Visualization using Power BI",Others
Information. Dialogue. Discourse,Others
Invitation to Expert Webinar: How ITIL Combines With the Four Pillars of Digital Transformation,Others
What's happening?,Others
"New assignment: ""First Assignment- SAN""",Others
Your complete guide to todays unusual economic landscape,Others
Happening tomorrow: Data Structures and Algorithms Online Training for Interview Preparation on Sunday,Others
Boost your career with the Certified Scrum Master certification,Others
Thank you for applying,Job
The 10 Most Important Skills Of 2021,Others
NEW: Learn from Google on edX!,Others
Join Virtual Summit for Future HR Leaders,Others
Good Morning,Others
Reminder: APAC AIML Week: Monitoring and modifying ML models when major events occur starts in 1 Day,Others
Thank you for applying to Palpx,Job
2000 Credits Added to Your Edureka Wallet,Others
Thank you for applying!,Job
Thank you for applying!,Job
You look like a good fit for the job at Colgate-Palmolive. Apply now.,Others
Thank you for applying,Job
"Timely, relevant and extremely informational",Others
Jumpstart your Kubernetes Adoption On Demand,Others
Get Halloween ready with these terrifyingly good templates,Others
New India Samachar,Others
Thank you for Applying,Job
"Nokia Expects to Meet Earnings Forecast Despite Lowered Sales,
 Industry Outlook",Others
Gandhi Jayanti special. We have got an exclusive goodie for you,Others
Thank you for applying,Job
IEP responds to Burton/Dunn investigation on market manipulation,Others
Citrix Invites you to be a part of their Hackathon and Win Exciting Prizes.,Others
e-Learning Survey,Others
Re: Compaq M700 laptop,Others
Make your cyber-privacy a priority,Others
"Our newest programs are built with UiPath, ThoughtWorks, Alteryx, and Microsoft!",Others
Thank you for Applying!,Job
Your new career starts here! Take Exclusive MCQ's | Participate Now,Others
Our tips will take your designs to the top,Others
Live Sessions from the best! Exclusively for you!,Others
You have the power to change the world,Others
